124.3 139 59.7 3.6 0 0 0 19 78.5 21.3 11 77
122.7 50 130.9 6 0 0 0 0 45.4 5 48.1 22.4
53.7 57.2 12.7 7 0 0 1.7 34.1 11.6 19.3 7.6 15.5
180.3 209.5 139.8 7.8 0 10.8 0 18.9 0 2.6 73.6 30.5
201.9 147.9 86.6 78.7 0 9.4 0 10.4 52.6 0 65.5 106.1
38.5 54.9 70.5 9.3 4.3 1.4 0 14 39.3 20.1 24.9 102
177.1 0.8 65.8 0.6 9.5 5.1 24.5 5.7 27.7 50.6 42.3 11
54.7 84.3 115 50.9 7.9 0 0 0 35.5 15.1 4.1 27.6
47.3 41.7 52.8 61.4 3 7.9 4.7 0 8 16.9 31.6 17.8
117 62.1 18.9 5.3 16.3 35.6 0 6.5 3 29.9 42.4 63.4
60.2 38.5 60.2 5.9 0 2.7 1.4 2.1 1.1 7.3 5.2 21.3
77.5 54 12.1 4.9 0 13.5 7.2 2.9 0 14 37.9 71.8
143.8 37 58.3 11.8 0.4 1.5 1.5 5.1 43.9 18.7 64.9 58.9
43 79.9 21.5 21.2 0 0 0.5 6.2 3.9 10.5 31.5 86.4
57.4 94 63.5 4.3 0 0 0 24.4 10.2 3.1 19.7 70.3
121.6 37.1 33.9 8.6 2.5 0.3 0 14.3 11 2.4 53.9 97.3
151.4 82.4 71.8 9.1 0 0 0 10.4 84.3 8.1 49.4 23.6
51.1 61 36.5 34.2 0 22.6 0 4.4 9.7 30 68.2 26.1
84.7 95.9 160.3 27.5 0 1.2 1.7 0 49.9 49.4 14.3 44.2
140.1 58.1 37.3 1.8 1.5 12 0 18.6 1.6 39.1 1 68.8
188 116.4 60.6 10 0.8 8 0.4 12.3 6.8 45.3 23.7 66.9
40.8 111.6 99 25.3 3.8 0 13.3 20.1 10.7 16.9 35.7 38.6
70.8 61.6 35.6 5.7 7.1 0 12.9 6.6 4.7 26.8 9.1 59.8
56.6 21.7 29.6 8.1 0 0.8 11.5 30.1 1 3.9 18.8 52
130.4 131.8 47.6 34.5 0 0 0 0 51.9 29.3 53.6 57.5
193.5 43.7 60.9 32.7 0.4 0 0 2.7 22.4 32.6 35.9 20.9
81.1 64 74.5 35.1 10.4 0 13.6 2.4 16.3 16.8 60.3 46.8
117.2 27.9 49.2 12.6 0 0 0 6.8 1.6 22.9 19.2 88.8
69 112.8 72.3 18.7 1.4 0 9 0 49.5 7.6 47.1 184.1
142.1 101.6 45.3 30.7 15.6 0 3.1 11.8 25.2 30.4 2.6 73.2
25.3 168.5 74.8 23 5.2 0 4.2 3.2 9.2 2.8 11.3 154.7
152.1 126.2 126.8 20 0 0 5.8 0 1.6 11.8 16.2 101.6
108.6 113.3 22 2.2 8.7 55.1 3.8 38.5 5.8 37 30.2 187.5
233.1 66.8 24.6 12.4 9.8 0 1 29 80.8 55 12.7 71.7
131.2 83.8 37.4 65.5 3.8 0 8.2 35.8 26.5 57.1 40.4 29.4
54.2 75.7 8.2 19.8 0 2.2 2.3 0.4 0.7 39.8 16.8 44.8
125.4 54.9 59.8 33.4 38.9 0 2 0 18.3 14.2 31.4 54.8
65.7 102.5 51.9 0.4 9.8 44.3 25.8 6.9 3.2 10.7 25 171
60.9 92 36.3 43.2 6.2 2.4 6.9 0 44.4 9 35 26.4
81.8 73.2 30.6 NA NA NA NA 1 11.4 31.8 0 34.9
26.2 68.3 1.4 0 0 0 0 1.2 3 0 9 125.5
146.9 7 0 0 0 0 0 0 13.3 17.2 1.3 13
4.9 8 14 0 0 0 0 0 30 0 0 2
35 40.5 9.4 8.1 0 0 0 0.8 0 75.5 40.4 4.5
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA 22.2 0 0 NA 0 NA NA 52.9 NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA 38.2 12.1 NA NA 0 0 0 30.3 48.8 74.6
