"fecha","spi.X100","spi.X101","spi.X102","spi.X104","spi.X105","spi.X107","spi.X108","spi.X109","spi.X110","spi.X111","spi.X112","spi.X113","spi.X116","spi.X117","spi.X118","spi.X119","spi.X120","spi.X121","spi.X122","spi.X123","spi.X124","spi.X125","spi.X126","spi.X200","spi.X201","spi.X202","spi.X203","spi.X204","spi.X205","spi.X206"
"1981-12-01", 0.4444757343, 0.2511228887, 0.0485613124, 0.9250069979, 0.5257314733, 0.4843858122, 0.4344607548, 0.6272430969, 0.4042262810, 0.9334614778, 0.2999898673, 0.4761881519, 0.1514568863, 0.6106714665, 0.4422876726, 0.0654841439, 0.4274592220, 0.5966017724, 0.7631364878, 0.2266126198, 0.1800938030, 0.7709655116, 0.2586881229, 0.9422751902, 1.3154547306, 0.8121506443, 1.3721363751, 0.1822363335, 0.6310784185,-0.0100200238
"1982-01-01", 0.8062615674, 0.5838098761, 0.3271519738, 0.8358007285, 0.4988868267, 0.5323565983, 0.5819997275, 0.6739895243, 0.6925382586, 0.3292737929, 0.5146905888, 0.5195501157, 0.2932358157, 0.7472360027, 0.8053944952, 0.6981105029, 0.5952957982, 0.2247475709, 0.4691001091, 0.5063864881, 0.6696254052, 0.9629002396, 0.4715431974, 0.9842323189, 0.8920625364, 0.6951068901, 1.1114878101, 0.2734491524, 1.1020904346,-0.1213120965
"1982-02-01", 0.1357419690, 0.0255741484,-0.1280569225, 0.0525278941,-0.0417261989,-0.1282652612, 0.0864462899, 0.3525851055, 0.0518509349,-0.2231346375,-0.1062578714, 0.1303615760, 0.0030260961, 0.1361890283, 0.1085617562, 0.0794986182,-0.0067024869,-0.3700522044,-0.0844524241,-0.1065569261,-0.0247246412, 0.8833577880,-0.1603572243, 0.3503867187, 0.2679610470, 0.0430658178, 0.4377650971,-0.4569521232, 0.2343682710,-0.6667305057
"1982-03-01", 0.3551747810,-0.1164838559, 0.1463218655, 0.6416921503,-0.0940014668,-0.0177446610,-0.0278573785, 0.1625603926, 0.5366458467,-0.5330512505, 0.0379094553, 0.0292241855, 0.0147995923, 0.2399654548, 0.3145323308, 0.1438656549,-0.0186361382,-0.5943250220,-0.3634158842, 0.0222532571, 0.2953929581, 0.6183766223, 0.0701271100,-0.0206344838, 0.2214518006,-0.2783236642, 0.2605511794,-0.3809724310, 0.6049354848,-0.6497886342
"1982-04-01",-0.1183963419,-0.4388382810,-0.0643409316, 0.5172414452,-0.3332979518,-0.2228745597,-0.2383227318,-0.0907893973, 0.2892316417,-0.6010998163,-0.2595578285,-0.0467578222,-0.1222919536, 0.0217877995,-0.1765315165,-0.2956233647,-0.3032996592,-0.5741458074,-0.4843807940,-0.2434543338,-0.2327302023, 0.2562632463,-0.0484942551,-0.5277259847,-0.0147609242,-0.5802867151,-0.0714892159,-0.6456681218,-0.1974535240,-0.7084376282
"1982-05-01", 1.1072202716, 0.5868108605, 0.8934737074, 1.7939234548, 0.3902476129, 0.7751046724, 0.7379707461, 0.6109040896, 1.4890244092,-0.0550268686, 0.7383415167, 0.7640597317, 0.4118209169, 1.0382811020, 1.0751109176, 0.6688996372, 0.6094249422, 0.1440492395, 0.2520988548, 0.6179299737, 0.8716104915, 0.4978108672, 0.9358607940, 0.1602428741, 0.7629715477, 0.0163229244, 0.9086456903, 0.1340926227, 0.7320203389,-0.0398173871
"1982-06-01", 0.2790525912, 0.6800045782,-0.4272630419, 0.3082016497,-0.1586250166, 0.8530777305, 0.5993360255, 0.8085426081, 0.1704371751, 0.1684365683, 0.0744431504, 0.9106991407,-0.7279486985, 1.4842050646, 0.1873056193, 0.7222924677, 0.8875867452, 0.6277317834, 0.8868433223, 0.6946403893, 0.4984416883, 0.4190294683, 0.4730531575, 0.4208563691, 0.2808034610, 0.0555553669, 0.8664875781,-0.7293296572,-0.3720540956,-0.7271387464
"1982-07-01",-0.0577946078,-0.2422781875,-0.8878009278, 0.2522539083,-0.4132140861,-0.6581958763, 0.5231076434,-0.1184637057,-0.0573106991, 0.3558039235, 0.2463259603, 0.3553382254,-0.3934790478, 0.4490842011, 0.0206028848,-0.8128800551,-0.1634626081, 0.1439490168,-0.8738250750,-1.3187755017,-0.5336320294,-0.1338790813,-0.8041033906,-0.2861566471,-0.3575619764, 0.0846024432,-1.0606359482,-1.2687776566,-0.2768562687,-0.9550896492
"1982-08-01", 0.2769139727, 0.0397614346,-0.1835294220, 0.3486883141,-0.1049132930, 0.5204877096, 0.3214772293,-0.3296278891, 0.2983086132, 0.3252608422, 0.7824996090, 0.1321062666, 0.3213132138, 0.6484282962, 0.3378491236, 0.0920406545,-0.3540632072, 0.2243392547,-0.8490940198, 0.7039629904, 0.9343755490,-0.0978384409, 0.4688491284,-0.0348138628, 0.3081511492, 0.1002217517,-0.1911423399,-0.7333541398, 0.4220607905,-0.6137392874
"1982-09-01", 0.3787799135,-0.2520967136,-0.1041170817, 0.0332152947, 0.2386448166, 0.2507898535, 0.7196478916, 0.7436366746,-0.0647673929, 0.6152111320, 0.3107238834, 0.5605794575, 0.5079547532,-0.1351784590, 0.4177889317, 0.0822293668,-0.4713429185, 0.5066842042, 0.5740376585, 0.3775863637, 0.6558158417, 0.6846024923, 0.3997229314, 0.8175267918, 0.6435594621, 0.4906002344, 0.4582483821,-0.1644796860, 1.0282886518,-0.2850537436
