id,lon,lat,alt,chirps_pp_bc,indices_spei6,indices_spi6,nasa_hmed,nasa_tmax_bc,nasa_tmed,nasa_tmin_bc,cluster
100,-67.07972222,-17.95277778,3702,448.57489862485943,0.09417529852347654,0.172792558,60.655185884889725,18.575637404269735,7.819694697370975,-0.020244291276021145,4
101,-67.50638889,-18.77194444,3762,348.75936251988367,0.2373875680237359,0.36242708300000004,48.86288252953016,18.177085287168723,9.181665547477799,0.2329562027142152,0
102,-66.8829,-18.4929,4057,431.1836467404713,0.14038616207150198,0.22287630260833335,55.95978950376961,14.135049044849216,7.995035759971398,3.0638692414521427,4
104,-66.81388889,-17.83694444,4025,446.20558666636873,0.16416808321697987,0.2543221719166667,60.655185884889725,14.8598040709364,7.819694697370975,-0.37691095794268775,4
105,-68.70638889,-18.17777778,3906,418.19384577794415,0.2919360403386741,0.578320048825,47.38857934168476,17.209691427092714,6.681132450959621,-2.762327574895828,3
107,-67.93972222,-17.83555556,3873,471.5910317780569,0.07972923419701808,0.0902224375,52.25514073264827,16.71772387893515,8.0027767398079,1.7424652059938737,4
108,-67.26305556,-18.96833333,3666,439.72385920555354,0.1029057977377307,0.14137933774999994,48.86288252953016,16.13104362050206,9.181665547477799,1.2806645360475486,0
109,-67.59916667,-19.275,3712,292.62901043429713,0.1376832425586762,0.3275901893166666,44.79934276864064,17.50564581926347,8.670975761428043,0.35858327241909005,0
110,-67.02475,-17.76811111,3802,389.4085499964293,0.14366888940863815,0.22253729134166672,60.655185884889725,16.365012404269738,7.819694697370975,1.5335057087239787,4
111,-68.71527778,-19.00777778,3805,333.86366905822564,0.2084506318023341,0.4891567430083333,38.23576827758356,17.01757384053269,6.277704454464395,-1.547111767042746,3
112,-67.406,-18.179,4038,395.1788151388554,0.04366563922784975,0.08341459455000001,57.73343207664601,17.472046605906918,8.832960166719635,-1.1659243436269577,4
113,-67.42472222,-19.13027778,3764,332.27073380527173,0.09903507855960708,0.15274591956666667,48.86288252953016,18.053249654819286,9.181665547477799,1.7375729657732577,0
116,-66.77777778,-18.89583333,3733,366.2869613244211,-0.019836296757880078,0.09611190516666665,52.778861122367005,17.205143107255417,8.187805727042393,1.3114983482529092,0
117,-68.41444444,-17.83888889,3917,655.188039027512,0.16983510976231286,0.23473435774999998,52.25514073264827,18.03418221226848,8.0027767398079,-1.7612847940061265,2
118,-67.08,-17.97472,3720,432.9788231797638,0.10781403643399035,0.19103402775,60.655185884889725,18.415012404269735,7.819694697370975,0.10642237539064545,4
119,-67.6786111111111,-18.3438888888889,3758,281.24473302420085,0.03544815981468916,0.09065552733074997,52.27729809422285,18.190523393386833,9.174782403508306,0.14685591248874424,0
120,-68.2572222222222,-18.7872222222222,3746,450.47911611722964,0.16597589846230565,0.3105686203683333,40.80095458225188,17.665112311684503,9.330443055555556,-0.8127363048338541,0
121,-68.7872222222222,-18.5677777777778,3845,384.639,0.2782448837068012,0.6722816759166667,39.431540469569356,20.618961625240566,7.910701205704751,-1.8138885428253613,3
122,-68.0858,-19.0439,3678,275.596,0.06765335105078084,0.18653808234166663,40.80095458225188,18.556778978351165,9.330443055555556,-0.17481963816718757,0
123,-67.899,-18.097,3867,655.5117826747655,0.05095672032216213,0.07706697141666669,52.25514073264827,17.014390545601817,8.0027767398079,-2.052951460672793,2
124,-67.469,-17.623,3761,582.4293665936899,0.08267783962052275,0.10376865183333331,65.64860295014742,16.437830636112434,7.9987963577255154,1.485811829281212,4
125,-66.959722,-19.23,3724,306.12653399932805,-0.029682876277312597,0.10881710739166665,52.778861122367005,19.450559773922087,8.187805727042393,-0.02412665174709124,0
126,-68.369,-18.346,3842,527.522460339791,0.24175380281900044,0.3821382494166667,44.609965329201756,18.457439967413087,9.246903231986156,-2.4962038096231263,2
200,-68.9994,-17.2117,3880,493.71603718863423,0.13324488662549916,0.27940801290833334,60.490490144693396,18.012371643316207,7.9214331207955935,-0.6882855210043789,2
201,-68.0083,-17.0942,3888,426.8528041720062,0.40098180328125493,0.535000013,68.07751689112241,17.795502965320814,7.116394879010189,-2.2381386944488586,1
202,-69.21416667,-17.28888889,4120,327.56423212119387,0.044048894975525096,0.42180634325,46.99785321786112,15.784324235261403,6.295312891969913,-0.5832877977293995,6
203,-68.6356,-17.2806,3826,447.7556377669788,0.06732284765821869,0.20003763583333328,53.09329052342108,18.64359949122261,7.894682887290993,-2.9801357742619663,2
204,-69.48638889,-17.15861111,4253,637.0158530615986,0.19134521467805585,0.41402131158333333,52.81580202782634,12.645074293306497,7.1520004983491345,-3.758003326281847,5
205,-67.45527778,-17.37694444,3965,519.8935121722486,0.337937368559607,0.4359360344066666,65.64860295014742,16.437830636112434,7.9987963577255154,1.485811829281212,1
206,-69.25,-17.533,3953,301.58710970052823,0.13205710812928068,0.5503808204583334,46.99785321786112,15.784324235261403,6.295312891969913,-0.5832877977293995,6
