"fecha","spei100","spei101","spei102","spei104","spei105","spei107","spei108","spei109","spei110","spei111","spei112","spei113","spei116","spei117","spei118","spei119","spei120","spei121","spei122","spei123","spei124","spei125","spei126","spei200","spei201","spei202","spei203","spei204","spei205","spei206"
"1981-01-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1981-02-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1981-03-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1981-04-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1981-05-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1981-06-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1981-07-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1981-08-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1981-09-01",1.38608167689878,1.33582819905473,1.47062589177049,0.891818660121252,0.668355349210496,1.34169397797871,1.12095835249112,1.22302184558374,1.28270192156474,1.16427600985811,1.31614316691563,1.21558183634817,1.50122869596475,1.09749200475647,1.36379320051093,1.23358900278423,1.10569436039654,0.516427937098359,1.52444294955296,1.29072428324516,1.24742178493103,1.30914797842239,0.894498069335379,0.716052221814655,1.32901101152611,0.44585825966263,1.02674829375133,-0.0263960935427184,1.29764004594494,0.250981225643428
"1981-10-01",1.58925632709328,1.43240941770142,1.5896354901586,1.08861146747871,0.765067080587659,1.43619342281271,1.17520464355537,1.39389492638151,1.49530814626662,1.25925140632791,1.50202089943622,1.35612770394448,1.56885958521481,1.07029020598044,1.5530086830949,1.38245441806577,1.16806642208638,0.596808026665466,1.53333607149755,1.4185570530044,1.46273773877959,1.34389196933004,0.947665509108151,0.947458290744213,1.59637873602538,0.662501041685579,1.31925050531564,0.196898867577878,1.54139137710985,0.490912838820901
"1981-11-01",1.12478445412802,1.23547248406966,1.39879561077112,0.958462868772456,0.81627071901402,1.19734522514702,1.18037915758746,1.3223156116051,1.31473521269723,1.38339787070065,1.16870479179483,1.47388841110728,1.28542315839197,0.88905669677191,1.04989574597371,1.3145447812445,1.09139874697972,0.818060088964023,1.69457336457383,1.39496477336902,1.2299362949587,1.24176377292312,0.936166019078092,0.866230281930459,1.54818828894857,0.920460746184135,1.44934003160586,0.228132140822917,1.40220376530409,0.679003504941391
"1981-12-01",1.15315848552734,0.933139039468997,1.05617329484115,1.31212906462841,1.10613408663316,1.00617187677714,1.06580310050597,1.09216046353341,1.24560019729869,1.46718143333774,0.950329356244354,1.07812075962428,1.11175694578213,1.08527461884797,1.07803887047014,0.930932989066235,0.916075000294232,1.20167690710035,1.19872308280805,1.00462045907515,1.18175710374763,1.4276281180369,1.05834184543917,1.45731537435628,1.59786892572729,1.54188839787572,1.82007550062935,0.748366125409681,1.32624770073656,0.948187124322022
"1982-01-01",1.17309774946663,0.770828380905525,0.814333242500486,1.22094870896794,0.678610834217772,0.935105497041413,0.768236872844309,0.82939016733174,1.09680242111665,0.667475711795587,0.853151443269228,0.776771012590295,0.821895457072964,1.01204034112643,1.12381445163467,0.956977833948833,0.735085820094685,0.456591217796552,0.70854342022738,0.896962810979561,1.22332654963792,1.27294581036738,0.754939950390394,1.37537330465674,1.50203656363901,1.12129922464978,1.50553423749445,0.411354947811879,1.52187873414273,0.297376803449081
"1982-02-01",0.694291834736835,0.205199175454997,0.44587120580111,0.797718526524776,0.16524188225001,0.354216960227709,0.271638850626041,0.535943916227135,0.690220318841649,0.190989698324738,0.379120307264582,0.402788129304682,0.497125843402834,0.366683855246738,0.635357643170699,0.475493133661697,0.114250822988994,-0.143250287523291,0.239830533571353,0.39484724231176,0.747650252373449,1.20887995009826,0.13245613062903,0.763982739893951,1.16722529449296,0.507639235576444,1.00508023191208,-0.341549537171968,1.20388035853904,-0.259306933478849
"1982-03-01",0.903669817396498,0.276401856670186,0.694834635937519,1.22825442403176,0.154595961891543,0.434972362227563,0.405762136212731,0.519931761514419,1.0029368963984,0.0926264052081356,0.550170667199154,0.486578016505907,0.562435542617554,0.56965166106321,0.839723765576398,0.534342993035689,0.21588483824882,-0.185571309306537,0.212872091705139,0.451406863301527,0.781235021768738,1.16000610396463,0.355500754622739,0.543336247541143,1.19520744409504,0.276908200914746,1.01622747470457,-0.284818855390036,1.22490196313992,-0.356415876700156
"1982-04-01",0.990403106324887,0.37597368230056,0.682873144984449,1.3134896135362,0.226102872208782,0.575497109937598,0.472899288737937,0.579300233374662,1.1150125281437,0.146768756509268,0.639392472138792,0.577575434860937,0.571386194912087,0.710703714513879,0.955893589077791,0.654268084771442,0.282466922132278,-0.0909746068946153,0.302537592845436,0.53782671727968,0.884707595930893,1.18780283657872,0.407641087488586,0.613883993954434,1.26081897402757,0.261820086241125,1.07526680452247,-0.275149998458566,1.20059559149137,-0.348841500115974
"1982-05-01",0.928286829681581,0.384285233031532,0.558592001407783,1.25622272751483,0.237961485879931,0.532194171657208,0.463724075939504,0.596732551259644,1.03337991540706,0.186006324389822,0.579185518002605,0.569786364897081,0.424403701312608,0.699378408158365,0.882872076983351,0.6456374818333,0.308706075126532,-0.0577987769664348,0.322575673568605,0.501250520176465,0.7765784714879,1.17097377249283,0.39882005781017,0.570728668585691,1.16011295289163,0.266837678756808,1.02799324051884,-0.273910968016073,1.0759647994795,-0.334936174185193
"1982-06-01",0.768130568693766,0.357300861161826,0.38316920935285,1.1880114426281,0.25237569425169,0.506158966011737,0.428124915081752,0.587805902457071,0.907715071766668,0.223267877439379,0.477294373676551,0.552076147847781,0.331446202870609,0.693306577192563,0.736280585257728,0.596469569098014,0.324710697444554,-0.0455351534113192,0.305986325515618,0.455773096425856,0.633772831957921,1.08808803127808,0.374762311342264,0.478502537280407,0.980457145977921,0.294616069871956,0.974905029510515,-0.275833414193482,0.844149392925595,-0.325564609824135
