"fecha","spei100","spei101","spei102","spei104","spei105","spei107","spei108","spei109","spei110","spei111","spei112","spei113","spei116","spei117","spei118","spei119","spei120","spei121","spei122","spei123","spei124","spei125","spei126","spei200","spei201","spei202","spei203","spei204","spei205","spei206"
"1981-01-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1981-02-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1981-03-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1981-04-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1981-05-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1981-06-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1981-07-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1981-08-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1981-09-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1981-10-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1981-11-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1981-12-01",1.26380767682451,1.1595993769318,1.1823863704886,1.03082861575737,0.661104776930866,1.22411202523469,1.04455293159018,1.18945824841356,1.16629832977686,1.16277434210485,1.14016213177185,1.14355582060561,1.29953659780032,1.04906425748814,1.23802263081708,1.04733559691381,1.03758718655616,0.55866059123315,1.43470212605684,1.06421854499326,1.02123279722439,1.2509746511692,0.719012521151452,0.810274255329401,1.32166127687476,0.493653443093938,1.09924624243854,-0.0280750221229764,1.2109129313762,0.126528426083334
"1982-01-01",1.43565933751097,1.23453368194731,1.22516962034837,1.13522426544327,0.701857163492911,1.25605011131141,1.08245839395457,1.24120507835746,1.31347144986925,1.01937116362037,1.25320152481143,1.19549557221474,1.26111291308966,1.10516444877787,1.41482982336236,1.26351224775161,1.04953607823097,0.439476456220419,1.24722082553431,1.13855446749307,1.23176144303413,1.33893745996136,0.769907035539297,1.08457071754487,1.40695229300729,0.659634445236381,1.32512952811138,0.191104875296878,1.49540386249045,0.110114853619409
"1982-02-01",0.771823545233972,0.573157332470339,0.706984276051623,0.68741060227798,0.177109325016177,0.461966498822183,0.621930766345928,0.749234911890236,0.847179407285144,0.348845370738137,0.562247054902098,0.806793056063351,0.73828607720531,0.438637056069659,0.716025053170591,0.756589305738504,0.401571685446942,-0.0876389303778052,0.607917065373735,0.461409272800548,0.535357434244308,1.21722501014617,0.143802767195474,0.614583669147889,1.03499597853255,0.295193695767291,0.987876725846579,-0.465353013178821,1.05665866911735,-0.407993314643447
"1982-03-01",0.907318347214492,0.452730819428881,0.757213655905636,1.18353591007237,0.210467818401651,0.433986529988972,0.55710481651113,0.598870445149457,1.05975905156839,0.124797514321273,0.569344825508182,0.631591702365108,0.73453193900155,0.592269518773769,0.84268856485232,0.687946162370806,0.305760332620257,-0.103011022675568,0.29736424576015,0.311413154421596,0.658230304896704,1.18770558269614,0.40400732133537,0.533500066411926,1.03228011957388,0.251623055406163,1.0279157257505,-0.281411790200126,1.15851376134602,-0.383495657848996
"1982-04-01",0.916441004294716,0.457354446649508,0.719135376287632,1.21908301615969,0.23888005338562,0.558656006208633,0.536525333922597,0.621401660755298,1.02548477263453,0.0999824846910471,0.604072390604287,0.682196810170941,0.664459477924951,0.66785694977289,0.85968552845002,0.737815419749302,0.322266436073982,-0.0529085892137852,0.352323160051846,0.373877901968422,0.77006632675296,1.14431936355483,0.430891061012388,0.580407800065165,1.08157209545347,0.262478224733154,1.04418788288817,-0.2734453094763,1.20176817216429,-0.342887952963648
"1982-05-01",0.952302950504306,0.501523614151368,0.774079116013145,1.24412070365975,0.276838407773763,0.549190826477814,0.567256387460495,0.672518625901893,1.03644126560186,0.17758669899724,0.622263519281858,0.716925722399625,0.699471162926533,0.679845910896924,0.898230839177906,0.751599080926012,0.36395966794665,0.0190976464617298,0.405309923510112,0.384216579481487,0.774144318868719,1.1967970012337,0.459523419005726,0.573717683451014,1.04420640928307,0.329651792835105,1.04921575580299,-0.258362582200797,1.19829201849769,-0.263166667949856
"1982-06-01",1.04031336452668,0.556372524362699,0.852215103147671,1.31234501439473,0.314134282632394,0.616707732201228,0.618718165737297,0.678721532207959,1.12440583750548,0.223560824426756,0.698247864422154,0.741948908002934,0.740333296491307,0.773359261387742,0.986543397360157,0.813307757597724,0.399324409010082,0.0653914427565874,0.434098388229928,0.451803544260272,0.797623245170771,1.25508144237924,0.505482758693009,0.577260432919485,1.05731461860369,0.381131717149744,1.08259191526776,-0.240161172788039,1.05045762568668,-0.210614825453141
"1982-07-01",1.09053428152547,0.553613816254333,0.796956480473076,1.3833833958229,0.346987097069215,0.631896400000374,0.643023348298676,0.681827779653996,1.19363455333055,0.255048346782253,0.780223133702164,0.760616055579652,0.754563152038852,0.78128243218613,1.06375459367908,0.824397906159761,0.402896998357309,0.101142591415296,0.439524186630872,0.415900179946898,0.871120760790174,1.23503076453142,0.491222948411192,0.57925562603048,1.0461900116944,0.37506309625737,1.03688320076216,-0.21871824791444,1.03611386285765,-0.198032931142996
"1982-08-01",0.987589879219297,0.48709855097616,0.636633369708233,1.26639798369525,0.308669816064685,0.59410562561211,0.553474964123877,0.61100707839372,1.07233368289997,0.18204899766328,0.71626366892494,0.670549764850441,0.596885169445247,0.750139021688194,0.955886562132903,0.759919692647602,0.370798127394681,0.056208741321374,0.383357887329542,0.389650356062337,0.81554709435478,1.14854858869382,0.461112097572771,0.505723687705733,0.964873950691438,0.281819189613595,0.968223416927964,-0.258039728527915,1.01591508655437,-0.282738458349461
