fecha,spi.X107,spi.X117,spi.X123,spi.X200,spi.X201,spi.X203
1985-08-01,0.8982168083,1.3445004467,0.5139830476,0.7128404283,0.1526326685,0.0506752632
1985-09-01,2.5444956899,1.6844640822,2.0110605621,0.2151628648,1.5047565029,1.0342735738
1985-10-01,1.7128274762,0.877686673,1.4855367822,0.1215541803,1.1324483165,0.6415955655
1985-11-01,2.11953124,2.3807221593,2.0984463363,0.8453073495,1.7608814704,1.744642352
1985-12-01,1.5903834391,1.8294048654,1.5552110146,1.1721333091,1.3704258605,1.600875652
1986-01-01,0.8081946847,1.0000431292,0.9351631342,0.566192786,0.738050483,0.8442109603
1986-02-01,0.3486734546,0.3493954246,0.4159320362,0.4422116145,0.1547126803,0.5608486016
1986-03-01,0.582980539,0.6345459905,0.8045291929,0.9020653374,0.367528052,1.0225397268
1986-04-01,1.036604283,0.8995628123,1.0593425803,1.1761965557,0.727726793,1.3108271372
1986-05-01,1.894919429,1.4649402166,1.7726742914,1.6386097605,1.3064442057,1.7272844343
1986-06-01,1.5426493813,0.3115752063,0.7546081579,-0.3029198167,-0.0097451336,-0.1469318992
1986-07-01,0.1473848559,-0.8370746735,-0.3802587593,-0.9717212097,-0.5614835541,-0.6552108959
1986-08-01,0.2505028333,-0.7633790382,0.5845576283,-0.2304282196,-0.1427744554,-0.1406342256
1986-09-01,0.9261982933,0.8316894567,1.4483250137,0.2413576294,1.1110935819,0.4547280791
1986-10-01,0.5297115937,0.4349120317,1.0778987862,-1.1023577884,0.2766718285,-0.2401693356
1986-11-01,0.0377924134,0.1299654592,0.4177840139,-0.3959853186,0.3175852254,-0.2315382558
1986-12-01,2.1954954487,1.759113605,2.3868550921,0.9268450452,0.8658140045,1.217600092
1987-01-01,1.8933283031,1.666663849,2.2398929913,1.8456217641,1.4454596267,1.7762373615
1987-02-01,0.8795940661,0.6694958551,1.2535730855,0.8126187107,0.3146916057,0.8650374376
1987-03-01,-0.1953960563,-0.4121485887,-0.0657347668,-0.0720054724,-0.6370189402,-0.1464230751
1987-04-01,-1.5615638667,-1.8806083229,-1.7350169722,-2.2078740258,-2.09541625,-2.2260297446
1987-05-01,-0.6251509899,-1.0697082827,-0.9814956743,-1.9715649549,-1.0998727834,-1.7041351879
1987-06-01,-0.2518114133,-0.6275049703,-0.7956090421,-1.5089341677,-0.7350670613,-1.1936934194
1987-07-01,0.719030583,0.7734016657,-0.2589080466,0.231714621,-0.5009140881,-0.6940205042
1987-08-01,0.4706066856,0.7131325418,0.3605833145,-0.400391723,-0.5336373071,-0.8416212336
1987-09-01,-0.2242059169,0.3337107472,-0.1061977124,-0.2879140088,-0.6616487143,-1.3294174208
1987-10-01,-0.3076693236,0.1265667234,-0.3391161405,-0.7834140653,-0.1783688932,-0.1704745293
1987-11-01,1.3915537624,1.5716775818,1.3005982117,0.913521265,0.9943950535,1.550054698
1987-12-01,-0.3340178551,0.2507307502,-0.4695036265,-0.3238326141,-0.1299669364,-0.1994139414
1988-01-01,0.1018950094,0.2740921255,-0.06389162,0.1078813369,0.3371920948,0.3132529563
1988-02-01,-0.4886341472,-0.4327450055,-0.6343258135,-0.8597299414,-0.5763483559,-0.7672683989
1988-03-01,0.3628398019,0.0666589082,0.4392776911,-0.0996441604,0.3909044848,0.0389243434
1988-04-01,0.272437768,-0.0838011705,0.4368110829,-0.233012103,0.0027402697,-0.475308957
1988-05-01,1.0182638342,0.495796325,1.1969058059,0.8461935743,1.0416180695,0.5413252712
