id,lon,lat,altitud,estacion,hmed,pp_bc,spei12,tmax_bc,tmin_bc,cluster
100,-67.07972222,-17.95277778,3702,aeropuerto,60.655185884889725,448.44780000000003,0.18602500000000002,18.581674999999997,-0.0345833333333333,1
101,-67.50638889,-18.77194444,3762,andamarca,48.86288252953016,348.6445,0.36675,18.18623333333333,0.24400833333333333,2
102,-66.8829,-18.4929,4057,antequera,55.95978950376961,459.49890000000005,0.21164166666666667,14.203808333333333,2.982425,1
105,-66.81388889,-17.83694444,4025,chillca,60.655185884889725,448.04580000000004,0.3064916666666667,14.900433333333334,-0.449425,1
106,-67.899,-18.097,3867,choquecota,52.25514073264827,680.9564,0.10553333333333334,17.062516666666667,-2.3156666666666665,3
107,-67.67861111,-18.34388889,3758,corque,52.27729809422285,273.4203,0.10392499999999996,18.134683333333335,0.338475,2
108,-68.70638889,-18.17777778,3906,cosapa,47.38857934168476,416.2847,0.4902333333333333,17.222608333333334,-2.769383333333333,0
111,-68.25722222,-18.78722222,3746,huachacalla,40.80095458225188,455.9969,0.35619999999999996,17.72051666666667,-0.9610833333333334,0
112,-67.93972222,-17.83555556,3873,huayllamarca,52.25514073264827,476.9313,0.11061666666666667,16.733958333333334,1.7101083333333331,1
113,-66.959722,-19.23,3724,quillacas,52.778861122367005,305.9486,0.08150833333333336,19.4785,-0.217475,2
114,-67.59916667,-19.275,3712,san-martin,44.79934276864064,291.8379,0.24280000000000004,17.523175,0.36155,2
115,-67.02475,-17.76811111,3802,soracachi,60.655185884889725,373.2893,0.25526666666666664,16.349399999999996,1.6251583333333333,1
116,-68.71527778,-19.00777778,3805,todo-santos,38.23576827758356,333.22749999999996,0.5906666666666667,17.035058333333332,-1.5633416666666666,0
117,-67.406,-18.179,4038,toledo,57.73343207664601,397.9474,0.11119999999999997,17.523958333333333,-0.521775,1
118,-68.369,-18.346,3842,turco,44.609965329201756,525.8398,0.3918416666666667,18.473750000000003,-2.4526666666666666,0
119,-67.42472222,-19.13027778,3764,ucumasi,48.86288252953016,331.7988,0.19465000000000005,18.05325,1.737558333333333,2
120,-66.77777778,-18.89583333,3733,challapata,52.778861122367005,369.6624,0.05091666666666668,17.1775,1.4960583333333333,2
121,-68.41444444,-17.83888889,3917,curahuara,52.25514073264827,638.2908,0.2351916666666667,18.129591666666663,-1.784225,3
200,-68.9994,-17.2117,3880,achiri,60.490490144693396,493.7384,0.1785083333333333,18.021574999999995,-0.6918583333333335,3
201,-68.0083,-17.0942,3888,ayoayo,68.07751689112241,426.8843,0.5162416666666667,17.795916666666667,-2.24085,3
202,-69.21416667,-17.28888889,4120,berenguela,46.99785321786112,326.13289999999995,0.13299166666666667,15.784316666666665,-0.5832166666666667,3
203,-68.6356,-17.2806,3826,calacoto,53.09329052342108,446.9844,0.11698333333333336,18.643383333333333,-2.979941666666667,3
204,-69.48638889,-17.15861111,4253,catacora,52.81580202782634,637.2387999999999,0.2509166666666667,12.676316666666667,-3.7642666666666664,3
205,-67.45527778,-17.37694444,3965,conchamarca,65.64860295014742,520.2322,0.4332583333333333,16.437791666666666,1.4857833333333332,1
