fecha,spei107,spei117,spei123,spei200,spei201,spei203
1981-01-01,NA,NA,NA,NA,NA,NA
1981-02-01,NA,NA,NA,NA,NA,NA
1981-03-01,1.29838045493724,0.982529324523882,1.14442975973271,0.425419759929251,1.03806519743929,0.613962001188914
1981-04-01,1.23884741285809,0.860448611574518,1.19376525064907,0.540653901248151,1.20013880465673,0.894415242808911
1981-05-01,0.743683379014892,0.485744429283637,0.995764887577919,0.250766184052182,0.617123267946947,0.887951199139606
1981-06-01,0.255514868110172,0.476990296451966,0.548988636587521,0.571289914425848,0.666079957816588,1.19455007218937
1981-07-01,-0.390922616656431,-0.742420350168904,-0.0493107730087307,0.352584884482715,0.287761204098587,0.581485288342279
1981-08-01,1.03118485143363,0.438041765372995,1.67641827212235,1.06895376954836,1.05116997016191,1.36379204605311
1981-09-01,1.73010329882326,1.78955631743707,1.88717962739744,2.19702004430688,2.03395413956855,2.11763477477935
1981-10-01,2.02617516593779,2.12716687294488,1.85977866476819,1.99640776677578,2.24149177242426,2.24457643381187
1981-11-01,1.27453767161524,1.0797185419169,1.16717133585851,1.0857694529467,2.00956561283649,1.53358358208041
1981-12-01,0.614121626568239,0.694083832103216,0.405142881367963,1.09266214395376,1.46775839510117,1.4381508874525
1982-01-01,0.615415523498763,0.774776018752833,0.564892914561618,1.02797710050096,0.920698807368903,1.13702781638586
1982-02-01,-0.0583209154344018,0.113355245670767,-0.0582531315227784,0.337028869178418,0.331817006216924,0.486036096836145
1982-03-01,0.124705400862795,0.308854888482613,0.161447974446423,-0.0454063967991621,0.291181057903272,0.369197903056592
1982-04-01,-0.0823773548809879,0.0529475710946218,-0.0925409198927425,-0.516559451810358,0.101011676174071,0.0379446895905027
1982-05-01,1.13785243431024,1.28594144983102,1.02785950656317,0.447128285675885,1.2918306615841,1.23153209290702
1982-06-01,1.7928701764637,1.94996238596287,1.9799097250947,1.43974441910573,1.40510588653188,1.92346392028056
1982-07-01,1.41555567660849,1.39300663578636,2.0286070846029,1.06185290550537,0.832652634959414,0.953184360072505
1982-08-01,0.993785769904488,1.0145098850985,1.10501990694788,0.477453715631821,0.641132862032308,0.392684453795927
1982-09-01,0.24908610382014,-0.110644165570061,0.334683392454105,0.523213402392808,0.432939111592281,0.206955229603713
1982-10-01,0.871979713979815,1.42174071400641,0.878208668098332,1.52289113723025,0.482118613896776,0.874914899683632
1982-11-01,1.07313694299886,1.01561926712246,0.988400256137204,1.8589274311808,0.637685200219043,1.28225840331331
1982-12-01,-0.537458969161218,-0.683340595538274,-0.357597588969032,0.388460096351559,-0.832799248622525,-0.223219862930193
1983-01-01,-1.40815674128997,-1.73459948327152,-1.36607177068913,-1.44679681771573,-1.30472817426755,-1.6604742442933
1983-02-01,-2.01120295734298,-2.05745235035245,-1.75262269940047,-2.07644166043419,-1.71952347204374,-2.33240267609803
1983-03-01,-2.153146871752,-2.30602142142299,-2.10416041154164,-2.20355098609066,-1.70868855168925,-2.77546708282469
1983-04-01,-1.60096033305673,-1.6923005545722,-1.47773049289322,-1.81870944233852,-1.51712925289727,-1.76164115070454
1983-05-01,-1.40587237249288,-1.4757135219904,-1.49622775172378,-1.63436363006381,-1.59337034258309,-1.5401459200505
1983-06-01,0.0308488731662187,-0.468302858317409,0.467794814708986,-0.932689187443189,-0.647103127929026,-0.1649370212616
1983-07-01,-0.292958748931401,-0.445724296228092,0.41263497542927,-0.537764981338115,-0.45037091901733,-0.642251381539576
1983-08-01,-0.130844575963531,-0.385569733536836,0.445227441362201,-0.47343061329514,-0.146466311272687,-0.0915301782416423
1983-09-01,0.649849094754364,0.390965700939451,0.502449960371487,0.144469854318999,0.154492025546549,0.529140197490346
1983-10-01,0.155871088827336,-0.109420839423501,0.0971088036687644,-0.222636530492828,-0.370180753919485,0.0302834342529695
1983-11-01,-0.426623104117599,-0.640478219098086,-0.384510731092612,-0.575464114941872,-0.940352087935834,-0.662071931694567
1983-12-01,-1.0769804913932,-0.750954918992506,-1.1470876830146,-0.333254342331786,-1.06257548723665,-0.644680718664772
1984-01-01,1.77837265464622,1.88710324656278,1.54801184385976,1.79035502313269,1.89912605316372,1.75378388329842
1984-02-01,2.16940294609082,2.3223130512752,2.05546242626429,2.29140040428844,2.2987377474755,2.2980097522817
1984-03-01,2.34634475529723,2.60484207636319,2.44479870669602,2.44428558408402,2.61469838584313,2.51330863812444
1984-04-01,2.04332186723725,2.34027100415369,2.25719506506718,2.05147277696862,2.29393573300515,2.28856047153872
1984-05-01,1.55743990135129,2.13746788184808,2.03868515868091,1.54288468315714,1.60980449306211,1.83135534420026
1984-06-01,0.75723862713519,-0.296169933887188,0.532264061702279,-0.0444105715046709,-0.393462480275638,0.823069934498272
1984-07-01,0.172534248481252,-1.0750882566229,-0.125313118667677,-0.7278576054985,-0.601598883195966,0.810909015199333
1984-08-01,1.15109368464462,-0.248606780381363,1.00894845486721,0.249105924245535,0.463334985883553,1.02513430138279
1984-09-01,0.675671419441051,0.216862813039505,0.954074299240844,0.735469729880262,0.58269150839618,0.546806156857347
1984-10-01,1.09662876552945,0.821796996912764,1.38451086405469,1.27005143293435,0.949757756974569,1.17538422353131
1984-11-01,1.69944650496336,1.66525429849354,1.74926086934644,2.33210763949448,1.35723913439758,1.97753590345676
1984-12-01,1.41941019090727,1.19975363250732,1.46266854390384,1.76141366618127,1.21284001783405,1.36022854246715
1985-01-01,1.08652441808297,0.546697263543883,1.13712899616369,0.888869544294088,0.895184372306178,0.776643172316942
