"fecha","spi100","spi101","spi102","spi104","spi105","spi107","spi108","spi109","spi110","spi111","spi112","spi113","spi116","spi117","spi118","spi119","spi120","spi121","spi122","spi123","spi124","spi125","spi126","spi200","spi201","spi202","spi203","spi204","spi205","spi206"
"1981-01-01",0.4495931984,0.5521461104,0.2851747797,0.3893849526,0.434923857,0.7841443864,0.5398944006,0.5080371258,0.4167414012,0.5617328584,0.3898508848,0.4552739491,0.4599877724,0.7517934501,0.4495931984,0.5051942662,0.5481791105,0.3043079375,0.9294474998,0.5532198149,0.4566537723,0.7144327072,0.4262532279,0.2119095986,0.5271702116,0.0540738017,0.1789896607,-0.1505126708,0.3091482505,-0.0152621982
"1981-02-01",1.3314874983,0.9174249696,0.8983611673,0.6227507911,0.5555658489,1.1811816048,0.4995855261,0.8476632436,0.8548489449,0.7396838831,1.1391616478,0.5725419103,1.0169192179,0.838353095,1.3314874983,0.673856696,0.8221102102,0.2577788155,0.9822389254,0.8938269923,1.1078753686,0.5901784495,0.6845137578,0.583661583,1.0027063646,0.1151720483,0.5201460254,0.2417470384,1.2093303791,0.1103628999
"1981-03-01",0.4757755531,1.0283974991,1.0566349708,-0.0848992917,0.1577015506,0.7942335973,1.0296993375,1.0223371765,0.4340176922,0.6600490191,0.8500357496,1.3401744431,0.8717523362,0.4146971981,0.4757755531,1.0168272411,0.8019743397,0.1222671677,1.4232985764,0.9727428418,0.1771477576,0.7018571377,0.1377683189,0.1174852016,0.202729761,-0.0230146072,0.5183483428,-0.4014586035,0.1411994762,-0.125014117
"1981-04-01",0.6411654378,0.8222809351,0.4992444453,0.2216574504,0.704207011,0.1560915529,0.6998028046,0.576573329,1.2564696279,2.038444946,0.466805051,0.4066946453,0.2960092719,0.5970742937,0.6411654378,0.8114576595,0.9195931116,1.0886255054,1.1950835598,0.4820980785,0.5002952784,0.8480704605,0.6820681235,0.6193099105,1.0798555858,0.548867143,1.3288492786,0.4223733115,0.3481075623,0.0938404374
"1981-05-01",-0.8416212336,-0.4962270007,-0.597760126,-0.4215974705,-0.6941171486,-0.4748810728,0.1230293418,-0.7554150264,-0.5636608683,-0.5867759927,-0.7554150264,-0.2519399054,-0.1186949445,-0.8105894819,-0.8416212336,-0.1924877128,-0.6513005493,-0.6211230019,-0.8232055023,-0.6744897502,-1.0364333895,-0.5644002467,-1.383553276,-0.7639380205,-0.6492305526,-0.4982702611,-0.6539445279,-0.6731837433,-0.5267656661,-0.3077969506
"1981-06-01",-0.1256613469,-0.2533471031,-0.2533471031,-0.4537621902,-0.05461437,-0.2533471031,-0.3853204664,-0.2320938158,-0.2533471031,-0.2533471031,-0.1256613469,-0.4438406645,0.0301622286,0.1891184263,-0.1256613469,-0.1256613469,-0.4258246799,-0.1256613469,-0.2303028333,-0.2533471031,-0.2322651927,-0.2354425183,-0.375102159,0.7554150264,0.8416212336,0.5244005127,0.5244005127,0.2533471031,0.7390718809,0.2533471031
"1981-07-01",0.0627067779,0,0.3767370568,0.1891184263,-0.1891184263,0,-0.2533471031,-0.1891184263,0.1256613469,0.1891184263,0.1256613469,-0.0627067779,0,-0.0627067779,0.0627067779,-0.0627067779,-0.0627067779,0,0,0.415411905,0.0627067779,0.0627067779,0.3536288083,0.3765095979,0.6368118955,0.6743283873,1.1784236716,0.1256613469,0.6199095533,0.0627067779
"1981-08-01",1.3785836721,1.3600318413,1.5750499353,2.1777005256,0.6962754502,1.7404882185,1.743901147,1.4401150607,1.5980641345,-0.3327582693,1.3822126572,1.4006672651,1.6074672957,1.7241526833,1.3785836721,1.5024085689,1.0531878311,0.3975354746,0.7599444659,1.4411350639,1.5264425513,1.700263304,1.2896061636,1.3525304649,1.3639829582,0.8685056297,1.7017255105,0.5359415794,1.2023821296,0.4969538208
"1981-09-01",1.6082142422,1.5737824961,1.9795332215,1.242113041,-0.2312184955,1.1172240056,1.3199251924,1.3533909997,1.6885446119,2.993696257,1.5625782831,1.2401640517,1.8024577275,1.5749915551,1.6082142422,1.4748167213,0.7716705363,0.8633510471,0.7717247737,1.1936404061,1.8407166205,1.5930413493,1.3902723459,1.7493372098,1.5143789179,0.1279955065,1.5224818063,-0.4217031845,1.1663076342,-0.1777878636
"1981-10-01",0.3503249112,-0.883412528,-0.5283319676,0.8125591966,-0.2764013953,1.1525315737,-1.1667727994,-0.2916394991,0.2378186341,0.3135251268,-0.0243184626,-0.6624506701,-0.64878824,0.8110598739,0.3503249112,-0.7015660679,-0.2241706003,-0.4078831437,-0.5003135514,0.5754274579,0.9488168827,-0.5525872672,-1.0178734221,1.0778851124,1.5458280576,0.3760356282,1.441183313,0.1010679105,1.1226171266,0.0264935519
"1981-11-01",-0.002667919,-0.6819375817,-0.3682248034,0.453592891,0.5071300495,0.0053378313,-0.6751636009,-0.8931282041,0.2475758795,0.1969894031,0.1422274589,-0.786368729,-0.5252829182,0.0114911255,-0.002667919,-0.0482892003,-0.3424611122,-0.1752026041,-0.1150705341,0.0420875982,0.1004805723,-0.6149645975,0.3076185729,-0.2123808621,0.3175454765,0.1542187791,0.1854834415,0.4125565086,0.7346456048,0.1186965469
"1981-12-01",0.5610517145,0.7028361045,0.494033257,0.7695411803,0.5387020913,0.324035902,0.9081558451,0.8735300604,0.4418556296,0.9462268984,0.4503024682,0.838258926,0.6622336673,0.6482440121,0.5610517145,0.398714433,0.5886218104,0.7362273022,0.8735920675,0.256059053,-0.0268012641,1.2804371411,0.3933744663,1.0214063536,0.6024183443,0.9670272835,1.2057335576,0.1409880958,-0.165581585,0.0654334352
"1982-01-01",0.8855434272,0.5976588696,0.4029241587,0.6149765169,0.4162873532,0.6141320572,0.4608343714,0.5843205646,0.7446024602,0.0338790428,0.5291894628,0.4157297701,0.2791891382,0.7600464381,0.8855434272,0.8562128687,0.5940432021,-0.0453469497,0.2476563046,0.6519987027,0.9299819071,0.81591046,0.4810508578,0.9172397381,0.8021478589,0.4747756256,0.8756063959,0.3047147466,1.3324619266,-0.0901518892
