id,lon,lat,alt,nom,pp_media_anual,hmed_media_anual,tmax_media_anual,tmed_media_anual,tmin_media_anual,spi12,cluster
100,-67.07972222,-17.95277778,3702,aeropuerto,429.0825000000001,59.56398522173005,18.486041666666665,7.585918626792116,-0.2868750000000003,0.0295895280187499,3
101,-67.50638889,-18.77194444,3762,andamarca,309.3125,47.0460315734414,18.09979166666667,8.991681556116143,-0.0022916666666664,0.0268237956395832,0
102,-66.8829,-18.4929,4057,antequera,409.0,54.83837606313011,13.99375,7.746567193817645,2.777708333333333,0.0263015425070833,3
104,-66.81388889,-17.83694444,4025,chillca,415.0425,59.56398522173005,14.770208333333334,7.585918626792116,-0.643541666666667,0.0203462367989583,3
105,-68.70638889,-18.17777778,3906,cosapa,341.51000000000005,45.86569119005686,17.02583333333333,6.439679315476191,-3.0068749999999995,0.0125576539397916,4
107,-67.93972222,-17.83555556,3873,huayllamarca,470.9075,50.48370447747276,16.661458333333332,7.808244574218267,1.4831250000000005,0.0307407273575,3
108,-67.26305556,-18.96833333,3666,orinoca-uto,416.315,47.0460315734414,16.05375,8.991681556116143,1.0454166666666669,0.0240900575541666,0
109,-67.59916667,-19.275,3712,san-martin,265.61749999999995,42.95437204792141,17.40208333333333,8.473631183899219,0.1416666666666667,0.0249522433833333,0
110,-67.02475,-17.76811111,3802,soracachi,365.85,59.56398522173005,16.275416666666665,7.585918626792116,1.266875,0.0247872398479166,3
111,-68.71527778,-19.00777778,3805,todo-santos,261.965,36.60731958210842,16.772916666666667,6.000458695508237,-1.7881250000000002,0.0273726347791666,4
112,-67.406,-18.179,4038,toledo,389.2074999999999,56.34312286320117,17.405,8.621139247311827,-1.4312499999999997,0.0267712219583333,3
113,-67.42472222,-19.13027778,3764,ucumasi,312.51000000000005,47.0460315734414,17.975956034317228,8.991681556116143,1.5023250963923762,0.0262119270754166,0
116,-66.77777778,-18.89583333,3733,challapata,361.91,51.55340634015749,17.052500000000002,7.950967759702138,1.06,0.0304476611020833,0
117,-68.41444444,-17.83888889,3917,curahuara,621.1375,50.48370447747276,17.97791666666667,7.808244574218267,-2.020625,0.0211117076770833,5
118,-67.08,-17.97472,3720,cabania-forestal,412.595,59.56398522173005,18.325416666666666,7.585918626792116,-0.1602083333333336,0.0283765980958333,3
119,-67.6786111111111,-18.3438888888889,3758,corque,275.625,50.72050902253606,18.109791666666663,8.971048163303141,-0.1010416666666665,0.0232939705620833,0
120,-68.2572222222222,-18.7872222222222,3746,huachacalla,395.4725,38.63532595956486,17.559583333333336,9.129711941895316,-1.0731249999999997,0.020935092345625,0
121,-68.7872222222222,-18.5677777777778,3845,sacabaya,300.76775,38.25427864530916,20.33520833333333,7.577700410950439,-2.136458333333333,0.013563434931,4
122,-68.0858,-19.0439,3678,chipaya,257.42525,38.63532595956486,18.45125,9.129711941895316,-0.4352083333333333,0.0381649230310416,0
123,-67.899,-18.097,3867,choquecota,654.0600000000001,50.48370447747276,16.958125000000003,7.808244574218267,-2.312291666666666,0.0257461326874999,5
124,-67.469,-17.623,3761,eucaliptus,574.7049999999999,64.46227848474716,16.39072549106591,7.784433946613963,1.2188932272079207,0.0202805527091666,3
125,-66.959722,-19.23,3724,quillacas,296.23,51.55340634015749,19.29791666666667,7.950967759702138,-0.2756250000000001,0.0298555558749999,0
126,-68.369,-18.346,3842,turco,459.5825000000001,42.69343899146097,18.354166666666664,9.037212536692005,-2.7904166666666663,0.0098532652187499,5
200,-68.9994,-17.2117,3880,achiri,466.955,59.57562790926206,17.899375,7.720805833642319,-0.8943750000000005,0.0155724090812499,1
201,-68.0083,-17.0942,3888,ayoayo,374.7125,66.88936158700363,17.786041666666666,6.938193370444674,-2.4493750000000007,0.03211710909375,1
202,-69.21416667,-17.28888889,4120,berenguela,295.36499999999995,47.200717197845485,15.368300869903951,5.9021025117745465,-0.9214295083161184,0.00294530666,2
203,-68.6356,-17.2806,3826,calacoto,434.6575000000001,51.86549808693962,18.476250000000004,7.649003692153539,-3.2470833333333333,0.0261855773662499,1
204,-69.48638889,-17.15861111,4253,catacora,574.1875000000002,52.47702267168548,12.366041666666666,6.865521171396348,-4.017916666666666,-0.0053092704375,6
205,-67.45527778,-17.37694444,3965,conchamarca,472.095,64.46227848474716,16.39072549106591,7.784433946613963,1.2188932272079207,0.0281220724270833,3
206,-69.25,-17.533,3953,avaroa,253.7375,47.200717197845485,15.368300869903951,5.9021025117745465,-0.9214295083161184,-0.0093770760458333,2
